name,album,release_date,track_number,id,uri
This Is Why We Can't Have Nice Things - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,13,0MtU9ETYyVX8YPBDCYPdMb,spotify:track:0MtU9ETYyVX8YPBDCYPdMb
Call It What You Want - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,14,1VPHQriwOsy5aGHLwwZyho,spotify:track:1VPHQriwOsy5aGHLwwZyho
New Year's Day - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,15,13tYZVTtzLUJTlM7m1ivbi,spotify:track:13tYZVTtzLUJTlM7m1ivbi
...Ready For It?,reputation,2017-11-10,1,2yLa0QULdQr0qAIvVwN6B5,spotify:track:2yLa0QULdQr0qAIvVwN6B5
End Game,reputation,2017-11-10,2,2x0WlnmfG39ZuDmstl9xfX,spotify:track:2x0WlnmfG39ZuDmstl9xfX
I Did Something Bad,reputation,2017-11-10,3,4svZDCRz4cJoneBpjpx8DJ,spotify:track:4svZDCRz4cJoneBpjpx8DJ
Don’t Blame Me,reputation,2017-11-10,4,1R0a2iXumgCiFb7HEZ7gUE,spotify:track:1R0a2iXumgCiFb7HEZ7gUE
Delicate,reputation,2017-11-10,5,6NFyWDv5CjfwuzoCkw47Xf,spotify:track:6NFyWDv5CjfwuzoCkw47Xf
Look What You Made Me Do,reputation,2017-11-10,6,1P17dC1amhFzptugyAO7Il,spotify:track:1P17dC1amhFzptugyAO7Il
So It Goes...,reputation,2017-11-10,7,5PxFv9yJEg9dxvbZggykro,spotify:track:5PxFv9yJEg9dxvbZggykro
Gorgeous,reputation,2017-11-10,8,1ZY1PqizIl78geGM4xWlEA,spotify:track:1ZY1PqizIl78geGM4xWlEA
Getaway Car,reputation,2017-11-10,9,0VE4kBnHJUgtMf0dy6DRmW,spotify:track:0VE4kBnHJUgtMf0dy6DRmW
King Of My Heart,reputation,2017-11-10,10,7HuBDWi18s4aJM8UFnNheH,spotify:track:7HuBDWi18s4aJM8UFnNheH
Dancing With Our Hands Tied,reputation,2017-11-10,11,7I7JbDv63ZJJsSi24DyJrz,spotify:track:7I7JbDv63ZJJsSi24DyJrz
Dress,reputation,2017-11-10,12,6oVxXO5oQ4pTpO8RSnkzvv,spotify:track:6oVxXO5oQ4pTpO8RSnkzvv
This Is Why We Can't Have Nice Things,reputation,2017-11-10,13,07NxDD1iKCHbAldceD7QLP,spotify:track:07NxDD1iKCHbAldceD7QLP
Call It What You Want,reputation,2017-11-10,14,1GwMQaZz6Au3QLDbjbMdme,spotify:track:1GwMQaZz6Au3QLDbjbMdme
New Year’s Day,reputation,2017-11-10,15,7F5oktn5YOsR9eR5YsFtqb,spotify:track:7F5oktn5YOsR9eR5YsFtqb
All Too Well,reputation Stadium Tour Surprise Song Playlist,2017-11-09,1,00vJzaoxM3Eja1doBUhX0P,spotify:track:00vJzaoxM3Eja1doBUhX0P
Wildest Dreams,reputation Stadium Tour Surprise Song Playlist,2017-11-09,2,22C0JIVhFaczZ4t9heqREN,spotify:track:22C0JIVhFaczZ4t9heqREN
The Best Day,reputation Stadium Tour Surprise Song Playlist,2017-11-09,3,7APTsjmZbj7TFXQJAiRti4,spotify:track:7APTsjmZbj7TFXQJAiRti4
Red,reputation Stadium Tour Surprise Song Playlist,2017-11-09,4,4V9NuhKQcUFt4cgbynHV79,spotify:track:4V9NuhKQcUFt4cgbynHV79
Holy Ground,reputation Stadium Tour Surprise Song Playlist,2017-11-09,5,4hCZk6WJBFQeG3P7WsyntI,spotify:track:4hCZk6WJBFQeG3P7WsyntI
Teardrops On My Guitar - Radio Single Remix,reputation Stadium Tour Surprise Song Playlist,2017-11-09,6,7eGeUVeCEvEQrivmjl9Qn3,spotify:track:7eGeUVeCEvEQrivmjl9Qn3
Our Song,reputation Stadium Tour Surprise Song Playlist,2017-11-09,7,7qGr3rjRhndRIpFUA5f2HJ,spotify:track:7qGr3rjRhndRIpFUA5f2HJ
22,reputation Stadium Tour Surprise Song Playlist,2017-11-09,8,2P5gfMtCcKP0CkmgqFMyPg,spotify:track:2P5gfMtCcKP0CkmgqFMyPg
I Knew You Were Trouble.,reputation Stadium Tour Surprise Song Playlist,2017-11-09,9,2o2IVjuqRkR9hJxtPjtAP0,spotify:track:2o2IVjuqRkR9hJxtPjtAP0
I Don’t Wanna Live Forever (Fifty Shades Darker),reputation Stadium Tour Surprise Song Playlist,2017-11-09,10,55n9yjI6qqXh5F2mYvUc2y,spotify:track:55n9yjI6qqXh5F2mYvUc2y
Mean,reputation Stadium Tour Surprise Song Playlist,2017-11-09,11,5rcHBt2aNcGFWW0jaAUe1L,spotify:track:5rcHBt2aNcGFWW0jaAUe1L
How You Get The Girl,reputation Stadium Tour Surprise Song Playlist,2017-11-09,12,3aSYZ4upQ6OSNos26YeVWL,spotify:track:3aSYZ4upQ6OSNos26YeVWL
So It Goes...,reputation Stadium Tour Surprise Song Playlist,2017-11-09,13,41T04yafZVrjNq2FqvLtId,spotify:track:41T04yafZVrjNq2FqvLtId
Fifteen,reputation Stadium Tour Surprise Song Playlist,2017-11-09,14,0H2UD0LfSCiRr59YMGlCuS,spotify:track:0H2UD0LfSCiRr59YMGlCuS
Mine,reputation Stadium Tour Surprise Song Playlist,2017-11-09,15,6FmJKLpyCt42nP2IOVEVc2,spotify:track:6FmJKLpyCt42nP2IOVEVc2
Sparks Fly,reputation Stadium Tour Surprise Song Playlist,2017-11-09,16,5h2sBwpUSAndjObfU3ti2r,spotify:track:5h2sBwpUSAndjObfU3ti2r
State Of Grace,reputation Stadium Tour Surprise Song Playlist,2017-11-09,17,0YRGTdfmJPALpglAaraYUr,spotify:track:0YRGTdfmJPALpglAaraYUr
Haunted,reputation Stadium Tour Surprise Song Playlist,2017-11-09,18,6CB7DczrX9ZJB9Wkjegmaq,spotify:track:6CB7DczrX9ZJB9Wkjegmaq
Never Grow Up,reputation Stadium Tour Surprise Song Playlist,2017-11-09,19,1UPDfqsVIZLEiZeMuUsni2,spotify:track:1UPDfqsVIZLEiZeMuUsni2
Treacherous,reputation Stadium Tour Surprise Song Playlist,2017-11-09,20,0r3U7SOcoj4DIEyN44Lt5z,spotify:track:0r3U7SOcoj4DIEyN44Lt5z
Welcome To New York,1989 (Deluxe),2014-01-01,1,3nRmDz7qGCvsMS30rGGY0x,spotify:track:3nRmDz7qGCvsMS30rGGY0x
Blank Space,1989 (Deluxe),2014-01-01,2,1u8c2t2Cy7UBoG4ArRcF5g,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g
Style,1989 (Deluxe),2014-01-01,3,0ug5NqcwcFR2xrfTkc7k8e,spotify:track:0ug5NqcwcFR2xrfTkc7k8e
Out Of The Woods,1989 (Deluxe),2014-01-01,4,0qUnBLZ8bJqUNEeQgayL9t,spotify:track:0qUnBLZ8bJqUNEeQgayL9t
All You Had To Do Was Stay,1989 (Deluxe),2014-01-01,5,6aLOekfwbytwWvQftxTEF0,spotify:track:6aLOekfwbytwWvQftxTEF0
Shake It Off,1989 (Deluxe),2014-01-01,6,0cqRj7pUJDkTCEsJkx8snD,spotify:track:0cqRj7pUJDkTCEsJkx8snD
I Wish You Would,1989 (Deluxe),2014-01-01,7,5gRYrtvyVyaCRvLt56OfuV,spotify:track:5gRYrtvyVyaCRvLt56OfuV
Bad Blood,1989 (Deluxe),2014-01-01,8,2NlmmAjGYrrjAp0MED5rGx,spotify:track:2NlmmAjGYrrjAp0MED5rGx
Wildest Dreams,1989 (Deluxe),2014-01-01,9,4A4A6dwl5DqdqrZaEtKGPR,spotify:track:4A4A6dwl5DqdqrZaEtKGPR
How You Get The Girl,1989 (Deluxe),2014-01-01,10,0fM9dEhUFV4MHDuJgrcfOv,spotify:track:0fM9dEhUFV4MHDuJgrcfOv
This Love,1989 (Deluxe),2014-01-01,11,4L560fic5PaTuCFm6CviKa,spotify:track:4L560fic5PaTuCFm6CviKa
I Know Places,1989 (Deluxe),2014-01-01,12,6EwNJz8CuVsrsLvXprJ20Q,spotify:track:6EwNJz8CuVsrsLvXprJ20Q
Clean,1989 (Deluxe),2014-01-01,13,1NmVZsG18CzCAtw7rnV3yA,spotify:track:1NmVZsG18CzCAtw7rnV3yA
Wonderland,1989 (Deluxe),2014-01-01,14,6RvRzl1YJTDnUvdOtV21IK,spotify:track:6RvRzl1YJTDnUvdOtV21IK
You Are In Love,1989 (Deluxe),2014-01-01,15,2KrOAg6FftbjgSKdd2a4rS,spotify:track:2KrOAg6FftbjgSKdd2a4rS
New Romantics,1989 (Deluxe),2014-01-01,16,0qAIiGFKLdV1xpNlEhjpq8,spotify:track:0qAIiGFKLdV1xpNlEhjpq8
I Know Places - Voice Memo,1989 (Deluxe),2014-01-01,17,4FoV729rw7IhoKlMZW5K5V,spotify:track:4FoV729rw7IhoKlMZW5K5V
I Wish You Would - Voice Memo,1989 (Deluxe),2014-01-01,18,4eTXfpHxhxVofrBUjAhPMg,spotify:track:4eTXfpHxhxVofrBUjAhPMg
Blank Space - Voice Memo,1989 (Deluxe),2014-01-01,19,4e6QU4gpfZj9xxcK856RgG,spotify:track:4e6QU4gpfZj9xxcK856RgG
Welcome To New York,1989,2014-01-01,1,10nqz67NQWWa7XPq7ycihi,spotify:track:10nqz67NQWWa7XPq7ycihi
Blank Space,1989,2014-01-01,2,2ls70nUDfjzm1lSRDuKxmw,spotify:track:2ls70nUDfjzm1lSRDuKxmw
Style,1989,2014-01-01,3,71PmZqBXH0RUETqxpwlV0w,spotify:track:71PmZqBXH0RUETqxpwlV0w
Out Of The Woods,1989,2014-01-01,4,7EpVQjqtKygiwJIASxMWNg,spotify:track:7EpVQjqtKygiwJIASxMWNg
All You Had To Do Was Stay,1989,2014-01-01,5,4NNolUeL5m2ju7kf8pdg6H,spotify:track:4NNolUeL5m2ju7kf8pdg6H
Shake It Off,1989,2014-01-01,6,1kKlhuQE0HXp1IwBRpaH2P,spotify:track:1kKlhuQE0HXp1IwBRpaH2P
I Wish You Would,1989,2014-01-01,7,5RVJ6VKfwtosA5Q1qeHdjF,spotify:track:5RVJ6VKfwtosA5Q1qeHdjF
Bad Blood,1989,2014-01-01,8,0TvQLMecTE8utzoNmvXRbK,spotify:track:0TvQLMecTE8utzoNmvXRbK
Wildest Dreams,1989,2014-01-01,9,3fVnlF4pGqWI9flVENcT28,spotify:track:3fVnlF4pGqWI9flVENcT28
How You Get The Girl,1989,2014-01-01,10,5Z9ocF6ng0m2haHnKtHwTp,spotify:track:5Z9ocF6ng0m2haHnKtHwTp
This Love,1989,2014-01-01,11,7lTxQZVXlvIX7Z3szSy8Sh,spotify:track:7lTxQZVXlvIX7Z3szSy8Sh
I Know Places,1989,2014-01-01,12,6Ck9WerfsyvC4v4AylUoDp,spotify:track:6Ck9WerfsyvC4v4AylUoDp
Clean,1989,2014-01-01,13,2k43eySbfpDVx0PrO99UI8,spotify:track:2k43eySbfpDVx0PrO99UI8
State Of Grace,Red (Deluxe Edition),2012-10-22,1,0b16LTzby1YRVd2nq2Z0fw,spotify:track:0b16LTzby1YRVd2nq2Z0fw
Red,Red (Deluxe Edition),2012-10-22,2,7gJtmLyPTwKzhGzMBXtuXH,spotify:track:7gJtmLyPTwKzhGzMBXtuXH
Treacherous,Red (Deluxe Edition),2012-10-22,3,7nECwCDHS1JvQbrmuorZIH,spotify:track:7nECwCDHS1JvQbrmuorZIH
I Knew You Were Trouble.,Red (Deluxe Edition),2012-10-22,4,3lKZf71jeNi14udIFPJ29V,spotify:track:3lKZf71jeNi14udIFPJ29V
All Too Well,Red (Deluxe Edition),2012-10-22,5,6GNRkaWUB0Lwc19SdkTgx8,spotify:track:6GNRkaWUB0Lwc19SdkTgx8
22,Red (Deluxe Edition),2012-10-22,6,3WC5CVAahvn98hiseoIvbw,spotify:track:3WC5CVAahvn98hiseoIvbw
I Almost Do,Red (Deluxe Edition),2012-10-22,7,1eyqSYBCTane4rl4vc6PWJ,spotify:track:1eyqSYBCTane4rl4vc6PWJ
We Are Never Ever Getting Back Together,Red (Deluxe Edition),2012-10-22,8,6kISMRfweKSvgHR0urMQFG,spotify:track:6kISMRfweKSvgHR0urMQFG
Stay Stay Stay,Red (Deluxe Edition),2012-10-22,9,0F2S1QlnMaOfmNHIgmES3k,spotify:track:0F2S1QlnMaOfmNHIgmES3k
The Last Time,Red (Deluxe Edition),2012-10-22,10,2Tz4JnXZOcjcp8fWfMjBBk,spotify:track:2Tz4JnXZOcjcp8fWfMjBBk
Holy Ground,Red (Deluxe Edition),2012-10-22,11,3KmYVOuK2eG7LGP7qQ8DLR,spotify:track:3KmYVOuK2eG7LGP7qQ8DLR
Sad Beautiful Tragic,Red (Deluxe Edition),2012-10-22,12,70e9zuv2pJc7ON1OUAJ1zl,spotify:track:70e9zuv2pJc7ON1OUAJ1zl
The Lucky One,Red (Deluxe Edition),2012-10-22,13,5VQLMrWhailAhErKNUSnv1,spotify:track:5VQLMrWhailAhErKNUSnv1
Everything Has Changed,Red (Deluxe Edition),2012-10-22,14,5PjfMmF06QtxTPZBZHdhoZ,spotify:track:5PjfMmF06QtxTPZBZHdhoZ
Starlight,Red (Deluxe Edition),2012-10-22,15,1gL4vMhDV3RgJQmDuY5HK1,spotify:track:1gL4vMhDV3RgJQmDuY5HK1
Begin Again,Red (Deluxe Edition),2012-10-22,16,1yG491M3fRfowMdGN5pey4,spotify:track:1yG491M3fRfowMdGN5pey4
The Moment I Knew,Red (Deluxe Edition),2012-10-22,17,4qTAwKJQ68gmnrnfPD3vlO,spotify:track:4qTAwKJQ68gmnrnfPD3vlO
Come Back...Be Here,Red (Deluxe Edition),2012-10-22,18,1n8rB9AhxiAvVP1E2c3yOd,spotify:track:1n8rB9AhxiAvVP1E2c3yOd
Girl At Home,Red (Deluxe Edition),2012-10-22,19,6VFpuI0DDmbC5UyWZQ4IRY,spotify:track:6VFpuI0DDmbC5UyWZQ4IRY
Treacherous - Original Demo Recording,Red (Deluxe Edition),2012-10-22,20,7skiELMb9SiQCcBpsExIJf,spotify:track:7skiELMb9SiQCcBpsExIJf
State Of Grace,Red,2012-10-22,1,786NsUYn4GGUf8AOt0SQhP,spotify:track:786NsUYn4GGUf8AOt0SQhP
Red,Red,2012-10-22,2,0cITLOYn1Sv4q27zZPqlNK,spotify:track:0cITLOYn1Sv4q27zZPqlNK
Treacherous,Red,2012-10-22,3,5kYFVSQoPu7yRpfiHBwMUk,spotify:track:5kYFVSQoPu7yRpfiHBwMUk
I Knew You Were Trouble.,Red,2012-10-22,4,72jCZdH0Lhg93z6Z4hBjgj,spotify:track:72jCZdH0Lhg93z6Z4hBjgj
All Too Well,Red,2012-10-22,5,4XMP3zVxrnr58T0tjIHvpR,spotify:track:4XMP3zVxrnr58T0tjIHvpR
22,Red,2012-10-22,6,2ULNeSomDxVNmdDy8VxEBU,spotify:track:2ULNeSomDxVNmdDy8VxEBU
I Almost Do,Red,2012-10-22,7,5VwFkx7JOimOGTYfha5rs1,spotify:track:5VwFkx7JOimOGTYfha5rs1
We Are Never Ever Getting Back Together,Red,2012-10-22,8,7AEAGTc8cReDqcbPoY9gwo,spotify:track:7AEAGTc8cReDqcbPoY9gwo
Stay Stay Stay,Red,2012-10-22,9,1qLeEu4iXEclkLwoBlMiou,spotify:track:1qLeEu4iXEclkLwoBlMiou
The Last Time,Red,2012-10-22,10,3n9mzjgAzjyKawvbHzciXF,spotify:track:3n9mzjgAzjyKawvbHzciXF
Holy Ground,Red,2012-10-22,11,1fGsZsIkQkOspfsT24nQP6,spotify:track:1fGsZsIkQkOspfsT24nQP6
Sad Beautiful Tragic,Red,2012-10-22,12,6LKjHhOW1az75pCQ9XJJtF,spotify:track:6LKjHhOW1az75pCQ9XJJtF
The Lucky One,Red,2012-10-22,13,2X2J0BhxaLTmnxO4pPUhSd,spotify:track:2X2J0BhxaLTmnxO4pPUhSd
Everything Has Changed,Red,2012-10-22,14,4NAmRvqSITAAzKWnC8yRq3,spotify:track:4NAmRvqSITAAzKWnC8yRq3
Starlight,Red,2012-10-22,15,7MecVsMj22MneZt7kVFaCr,spotify:track:7MecVsMj22MneZt7kVFaCr
Begin Again,Red,2012-10-22,16,0L4YCNRfXAoTvdpWeH2RGj,spotify:track:0L4YCNRfXAoTvdpWeH2RGj
Sparks Fly - Live/2011,Speak Now World Tour Live,2010-10-25,1,1aBJNc2thaKyh5THWzIqHX,spotify:track:1aBJNc2thaKyh5THWzIqHX
Mine - Live/2011,Speak Now World Tour Live,2010-10-25,2,7yndkPYP6YQQLBpPsizDfh,spotify:track:7yndkPYP6YQQLBpPsizDfh
The Story Of Us - Live,Speak Now World Tour Live,2010-10-25,3,72GIZuUXo14oyrS0si3Rgc,spotify:track:72GIZuUXo14oyrS0si3Rgc
Mean - Live/2011,Speak Now World Tour Live,2010-10-25,4,7mFiEij8AXPUZB7aKLbUlQ,spotify:track:7mFiEij8AXPUZB7aKLbUlQ
Ours - Live/2011,Speak Now World Tour Live,2010-10-25,5,68QyrSzpnoU04AAhE5z8lj,spotify:track:68QyrSzpnoU04AAhE5z8lj
Back To December/Apologize/You're Not Sorry - Live/2011/Medley,Speak Now World Tour Live,2010-10-25,6,1IsquhJFJ0qcFZI7FeAEuN,spotify:track:1IsquhJFJ0qcFZI7FeAEuN
Better Than Revenge - Live/2011,Speak Now World Tour Live,2010-10-25,7,6505MLhnqTDDg4tjoUz2Wp,spotify:track:6505MLhnqTDDg4tjoUz2Wp
Speak Now - Live/2011,Speak Now World Tour Live,2010-10-25,8,3QFB14MOUf3imlyISNmrbT,spotify:track:3QFB14MOUf3imlyISNmrbT
Last Kiss - Live/2011,Speak Now World Tour Live,2010-10-25,9,6hH37tyeRdyan1mAppmVor,spotify:track:6hH37tyeRdyan1mAppmVor
Drops Of Jupiter - Live/2011,Speak Now World Tour Live,2010-10-25,10,0BSmbCIY36iw04azzJ3S0S,spotify:track:0BSmbCIY36iw04azzJ3S0S
Bette Davis Eyes - Live/2011,Speak Now World Tour Live,2010-10-25,11,6KF9xd2hBLuexrmBX4vUWD,spotify:track:6KF9xd2hBLuexrmBX4vUWD
I Want You Back - Live/2011,Speak Now World Tour Live,2010-10-25,12,4KB3zBArZ1rHRExilzycaV,spotify:track:4KB3zBArZ1rHRExilzycaV
Dear John - Live/2011,Speak Now World Tour Live,2010-10-25,13,4DbI1rr4IQ2bc8nejy9ttd,spotify:track:4DbI1rr4IQ2bc8nejy9ttd
Enchanted - Live/2011,Speak Now World Tour Live,2010-10-25,14,3lm4L3pPL32PFy74dR17OR,spotify:track:3lm4L3pPL32PFy74dR17OR
Haunted - Live/2011,Speak Now World Tour Live,2010-10-25,15,6znB7YZhMJT2B83zfbiyLq,spotify:track:6znB7YZhMJT2B83zfbiyLq
Long Live - Live/2011,Speak Now World Tour Live,2010-10-25,16,5QkzyLUb4ggojNDp8G2OxX,spotify:track:5QkzyLUb4ggojNDp8G2OxX
Mine - POP Mix,Speak Now,2010-10-25,1,0GxW5K0qzrq7L1jwSY5OmY,spotify:track:0GxW5K0qzrq7L1jwSY5OmY
Sparks Fly,Speak Now,2010-10-25,2,46NGAvL695VnbcSeTmQWmM,spotify:track:46NGAvL695VnbcSeTmQWmM
Back To December,Speak Now,2010-10-25,3,5l6GqSxplqnZbLg0LTPQeG,spotify:track:5l6GqSxplqnZbLg0LTPQeG
Speak Now,Speak Now,2010-10-25,4,7dXKdjpOaH2iwfFKmUj7aq,spotify:track:7dXKdjpOaH2iwfFKmUj7aq
Dear John,Speak Now,2010-10-25,5,3K2es3gElMRJ3qvmPW442g,spotify:track:3K2es3gElMRJ3qvmPW442g
Mean,Speak Now,2010-10-25,6,0KztjtD3ytzgYjUKIVfBnW,spotify:track:0KztjtD3ytzgYjUKIVfBnW
The Story Of Us,Speak Now,2010-10-25,7,3lXekiVK1ZPZbKconsys73,spotify:track:3lXekiVK1ZPZbKconsys73
Never Grow Up,Speak Now,2010-10-25,8,3JilapcaOXzjR9gtvCY8FO,spotify:track:3JilapcaOXzjR9gtvCY8FO
Enchanted,Speak Now,2010-10-25,9,04S1pkp1VaIqjg8zZqknR5,spotify:track:04S1pkp1VaIqjg8zZqknR5
Better Than Revenge,Speak Now,2010-10-25,10,0PWgAyoxsjwGRuFSO0fyya,spotify:track:0PWgAyoxsjwGRuFSO0fyya
Innocent,Speak Now,2010-10-25,11,0mTgFzkDgSAF3nJY25XCXG,spotify:track:0mTgFzkDgSAF3nJY25XCXG
Haunted,Speak Now,2010-10-25,12,2YjKcFQ1vYFhQPgsmCOjss,spotify:track:2YjKcFQ1vYFhQPgsmCOjss
Last Kiss,Speak Now,2010-10-25,13,4EUQXLipplO2v9mVaqQtjc,spotify:track:4EUQXLipplO2v9mVaqQtjc
Long Live,Speak Now,2010-10-25,14,4ewAfHYpDTzpW1GKO44CVP,spotify:track:4ewAfHYpDTzpW1GKO44CVP
Mine - POP Mix,Speak Now (Deluxe Package),2010-01-01,1,0OAHsZ8vrS2NKom3cvfJQD,spotify:track:0OAHsZ8vrS2NKom3cvfJQD
Sparks Fly,Speak Now (Deluxe Package),2010-01-01,2,09cM9BjyNFizKUOXh6j9rT,spotify:track:09cM9BjyNFizKUOXh6j9rT
Back To December,Speak Now (Deluxe Package),2010-01-01,3,0tr6XR58KBdDYd8qvHVTs8,spotify:track:0tr6XR58KBdDYd8qvHVTs8
Speak Now,Speak Now (Deluxe Package),2010-01-01,4,2PBghI9zJkQEWBzMSMo2Ki,spotify:track:2PBghI9zJkQEWBzMSMo2Ki
Dear John,Speak Now (Deluxe Package),2010-01-01,5,1GeLxMgpeCnMJntwyW6rLw,spotify:track:1GeLxMgpeCnMJntwyW6rLw
Mean,Speak Now (Deluxe Package),2010-01-01,6,6yM6QsnTCTVOkKEvg3hGlo,spotify:track:6yM6QsnTCTVOkKEvg3hGlo
The Story Of Us,Speak Now (Deluxe Package),2010-01-01,7,7vBlnGdfOLzVEqiOQQxeU8,spotify:track:7vBlnGdfOLzVEqiOQQxeU8
Never Grow Up,Speak Now (Deluxe Package),2010-01-01,8,57w0Uyk2jJAkO2hMJ36xJZ,spotify:track:57w0Uyk2jJAkO2hMJ36xJZ
Enchanted,Speak Now (Deluxe Package),2010-01-01,9,3sqrvkNC6IPTIXvvbx9Arw,spotify:track:3sqrvkNC6IPTIXvvbx9Arw
Better Than Revenge,Speak Now (Deluxe Package),2010-01-01,10,55mh9j2aB7xZ1Oh463gK8k,spotify:track:55mh9j2aB7xZ1Oh463gK8k
Innocent,Speak Now (Deluxe Package),2010-01-01,11,4LraIz87diVQdDK0rhi0S4,spotify:track:4LraIz87diVQdDK0rhi0S4
Haunted,Speak Now (Deluxe Package),2010-01-01,12,72idZxdEHLbi2YI486c3sE,spotify:track:72idZxdEHLbi2YI486c3sE
Last Kiss,Speak Now (Deluxe Package),2010-01-01,13,1VCJ7vk3Y2DoJIAEOXe3V8,spotify:track:1VCJ7vk3Y2DoJIAEOXe3V8
Long Live,Speak Now (Deluxe Package),2010-01-01,14,7BFc7ffruhZ4Hecnqf5xju,spotify:track:7BFc7ffruhZ4Hecnqf5xju
Ours,Speak Now (Deluxe Package),2010-01-01,15,0hK93KD6Y0j9giUGh4Valj,spotify:track:0hK93KD6Y0j9giUGh4Valj
If This Was A Movie,Speak Now (Deluxe Package),2010-01-01,16,5tSmAABuoOfR59lrtXdDqm,spotify:track:5tSmAABuoOfR59lrtXdDqm
Superman,Speak Now (Deluxe Package),2010-01-01,17,6aJ0ipi4EPmu1aTbFeXZnw,spotify:track:6aJ0ipi4EPmu1aTbFeXZnw
Back To December - Acoustic,Speak Now (Deluxe Package),2010-01-01,18,7k7BOXE4u6luKTwcLEAyrd,spotify:track:7k7BOXE4u6luKTwcLEAyrd
Haunted - Acoustic Version,Speak Now (Deluxe Package),2010-01-01,19,6SdBf0ZsJZoKaH5zcDaz9X,spotify:track:6SdBf0ZsJZoKaH5zcDaz9X
Mine,Speak Now (Deluxe Package),2010-01-01,20,67Io3gxHwfbUreBf114c0u,spotify:track:67Io3gxHwfbUreBf114c0u
Jump Then Fall,Fearless (Platinum Edition),2008-11-11,1,6WWvcA62QlnRguluWAk6bv,spotify:track:6WWvcA62QlnRguluWAk6bv
Untouchable,Fearless (Platinum Edition),2008-11-11,2,6ovFJkdau79DuXEvQjPaNH,spotify:track:6ovFJkdau79DuXEvQjPaNH
Forever & Always - Piano Version,Fearless (Platinum Edition),2008-11-11,3,13MAWVUSkbGMUi6I7RowRK,spotify:track:13MAWVUSkbGMUi6I7RowRK
Come In With The Rain,Fearless (Platinum Edition),2008-11-11,4,0cEG04R5cldkTLzK6phlcn,spotify:track:0cEG04R5cldkTLzK6phlcn
SuperStar,Fearless (Platinum Edition),2008-11-11,5,0XfTh16YcKPzdxMPTeKTAq,spotify:track:0XfTh16YcKPzdxMPTeKTAq
The Other Side Of The Door,Fearless (Platinum Edition),2008-11-11,6,1yDJcXc549N6AabNBzFAku,spotify:track:1yDJcXc549N6AabNBzFAku
Fearless,Fearless (Platinum Edition),2008-11-11,7,2okho7vU7Nsq1UZD0kgIMi,spotify:track:2okho7vU7Nsq1UZD0kgIMi
Fifteen,Fearless (Platinum Edition),2008-11-11,8,5Ora3Ish2A1JN5veGYTxhw,spotify:track:5Ora3Ish2A1JN5veGYTxhw
Love Story,Fearless (Platinum Edition),2008-11-11,9,5hnJCRSo4pxRsaEwT9YusG,spotify:track:5hnJCRSo4pxRsaEwT9YusG
Hey Stephen,Fearless (Platinum Edition),2008-11-11,10,3CI1f4yLwdHzcUnH7o0Xyh,spotify:track:3CI1f4yLwdHzcUnH7o0Xyh
White Horse,Fearless (Platinum Edition),2008-11-11,11,5yKB8qcTSflDercM2PXwot,spotify:track:5yKB8qcTSflDercM2PXwot
You Belong With Me,Fearless (Platinum Edition),2008-11-11,12,4kgTdThcDHfuDS2kKxB7Lc,spotify:track:4kgTdThcDHfuDS2kKxB7Lc
Breathe,Fearless (Platinum Edition),2008-11-11,13,23qIWGhpwvDgC23TyZOUck,spotify:track:23qIWGhpwvDgC23TyZOUck
Tell Me Why,Fearless (Platinum Edition),2008-11-11,14,4x7Gxk2GfwZJcqpoVT1PbR,spotify:track:4x7Gxk2GfwZJcqpoVT1PbR
You're Not Sorry,Fearless (Platinum Edition),2008-11-11,15,3JhvYnOfKLJuWC7jEU0GmJ,spotify:track:3JhvYnOfKLJuWC7jEU0GmJ
The Way I Loved You,Fearless (Platinum Edition),2008-11-11,16,4pEZUytwBzha5Un6m3SCFf,spotify:track:4pEZUytwBzha5Un6m3SCFf
Forever & Always,Fearless (Platinum Edition),2008-11-11,17,3NKCWBT2uKp8rxSkcvIrdX,spotify:track:3NKCWBT2uKp8rxSkcvIrdX
The Best Day,Fearless (Platinum Edition),2008-11-11,18,7CjuAoOiSrwWv7wJonAUmw,spotify:track:7CjuAoOiSrwWv7wJonAUmw
Change,Fearless (Platinum Edition),2008-11-11,19,3gFaNwyiafgUoQhR0pHYA9,spotify:track:3gFaNwyiafgUoQhR0pHYA9
Fearless,Fearless (International Version),2008-11-11,1,6zV8AVM9eVfdG7Qahwd64R,spotify:track:6zV8AVM9eVfdG7Qahwd64R
Fifteen,Fearless (International Version),2008-11-11,2,4yf9OivCH2lmQWN8mzpCC6,spotify:track:4yf9OivCH2lmQWN8mzpCC6
Love Story,Fearless (International Version),2008-11-11,3,5xPsybHWRHbTYO44xnREY5,spotify:track:5xPsybHWRHbTYO44xnREY5
Hey Stephen,Fearless (International Version),2008-11-11,4,4fWDgRZa0GKE5KZNhE9MQa,spotify:track:4fWDgRZa0GKE5KZNhE9MQa
White Horse,Fearless (International Version),2008-11-11,5,1yFjBRQVhRdcdnrTE5LuyD,spotify:track:1yFjBRQVhRdcdnrTE5LuyD
